"条文
校正
数",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"流年
字母",福,方,神,桃,滞,粉,问,物,忆,召,勿,分,肾,舌,离,务,娼,尾,誓,绍
"加
数
流年
岁数",162,318,681,968,177,474,630,849,351,525,786,992,492,699,873,187,373,200,184,168
11,893,1912,401,82,1978,1980,3159,2863,2319,2347,3441,1238,590,2832,2990,4194,4012,4511,6051,3363
13,918,2267,453,529,2062,2225,2511,898,2495,2822,2930,1593,642,2698,2947,4632,5054,1779,4655,3229
15,1452,2293,349,1214,2766,2591,3285,1414,3099,3247,3331,1619,538,3725,3914,4339,5294,2900,5014,4256
17,986,1617,624,154,1947,2003,2675,1496,3230,3196,3354,943,813,4149,4502,4171,4840,2962,5870,4680
19,927,908,817,46,2035,2036,2807,1912,2705,3544,3732,234,1006,4109,4009,4894,5793,3513,5341,4640
21,1329,2456,392,281,1352,2856,3423,1192,2065,2704,3709,1782,581,4222,4134,4859,4673,2801,5105,4753
23,7486,7692,6798,6680,7833,678,1642,7115,809,3031,1733,7018,6987,3421,5281,2523,2818,5866,6706,3952
25,1406,1610,7177,5179,7610,1628,2053,7664,7765,8006,2470,936,7366,10828,11185,3295,3412,11239,12067,11359
27,1158,2104,657,458,1829,2700,2727,1257,2928,3235,2870,1430,846,3554,4252,3991,3828,2830,5361,4085
29,1375,1386,767,259,1859,1521,1879,2148,2931,2876,2427,712,956,3533,4399,3699,3868,3843,5200,4064
31,1728,1996,1197,229,1110,2656,4039,2890,1038,1579,3904,1322,1386,1497,2534,4693,6723,3940,3829,2028
33,944,1813,560,397,1500,2742,2837,1212,1764,1761,3215,1139,749,5132,5066,3837,3966,3008,5755,5663
35,913,1122,4803,55,2051,2902,2897,5883,2017,2859,3493,448,4992,3362,3921,4129,5823,6826,4980,3893
37,916,1239,611,475,1703,1758,1871,1374,1744,2202,3251,565,800,2485,2413,3921,1971,3303,5852,2944
39,910,1115,981,669,2027,1757,1697,1416,2040,2507,2719,441,1170,3524,4041,3788,4001,2820,5292,4055
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"条
文
校正
数",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"流年字
母",动,弟,器,等,旦,鲁,屯,玄,亶,訾,吏,社,坷,西,刀,禄,龙,和,萨,省
"加
数
流年
岁数",584,776,398,364,544,931,200,794,724,904,816,392,596,177,654,745,559,330,345,513
12,8997,8815,5243,6015,5864,4695,7648,5743,5816,6772,3894,7771,5278,9125,5754,4136,4151,6207,11756,11667
14,6894,7018,2499,5388,5847,5812,6666,3322,5955,6482,4854,6828,2919,8278,5737,5204,5111,3786,9023,8916
