Ê®¶þ±ÙØÔ,»ùÊý,³õ¿ÌÉúÈËÏÈÌìÃüÊý,Õý¿ÌÉúÈËÏÈÌìÃüÊý,ÐòÊý,ÐÔ¸ñ,²ÅÄÜÇ°³Ì,²ÆÔË,ÐÖµÜ¸öÊý
¸´,410,2,8,350,"1036
3384",8677,4449,2530
¸´,410,4,10,360,7549,991,"7833
5381",6631
¸´,410,11,5,370,5811,"1863
8204",5860,6879
¸´,410,7,1,380,"3354
7572",2987,2161,7292
¸´,410,3,9,390,5765,5021,9585,6859
¸´,410,6,12,400,1693,6711,"7793
2031",¡Á
¸´,410,5,11,420,"8566
8930",7065,1457,6829
¸´,410,12,6,450,"6127
3284",10155,"7743
1981",7113
¸´,410,9,3,460,"936
6618",6341,1937,"689
629"
¸´,410,1,7,470,"5711
1623",9475,5171,669
¸´,410,8,2,360,"1026
3383",8667,4439,7203
¸´,410,10,4,380,"7491
3744",11669,4419,7183
ÁÙ,420,3,9,350,"1772
11773",1586,"4907
7833",6973
ÁÙ,420,5,11,360,3472,1078,8581,7302
ÁÙ,420,12,6,370,7798,"9545
5641
10958",9575,769
ÁÙ,420,8,2,380,3202,2893,1953,6601
ÁÙ,420,4,10,390,"927
543",4184,7793,"6849
2433"
ÁÙ,420,7,1,400,"917
11653",9425,"1933
9786",6494
ÁÙ,420,1,7,410,"7532
7287",8830,"9815
1923",6484
ÁÙ,420,10,4,430,9614,"1995
11717",7753,"2440
7123"
ÁÙ,420,2,8,440,"7459
6628",6564,9525,2430
ÁÙ,420,11,5,450,"6231
865",891,4339,6919
ÁÙ,420,9,3,370,"6311
11753",1566,8647,7183
ÁÙ,420,6,12,460,7708,5551,5704,6434
Ì©,430,4,10,350,2879,¡Á,1973,779
Ì©,430,6,12,360,4733,8647,375,6611
Ì©,430,1,7,370,11519,5023,5316,2490
Ì©,430,9,3,380,2849,11526,3070,6504
Ì©,430,5,11,390,"202
326",6041,5223,6839
Ì©,430,8,2,400,11535,4847,5221,2413
Ì©,430,12,6,410,"7522
7277","2387
7361",1967,6561
Ì©,430,3,9,420,"503
6155","6725
6970",5734,2440
Ì©,430,10,4,450,"855
7267",1544,8009,7093
Ì©,430,7,1,460,"1301
10257",1385,4094,6159
Ì©,430,11,5,470,"8860
453",¡Á,9706,659
Ì©,430,2,8,480,"7117
9554",1382,"7693
1571",2380
´ó×³,440,5,11,350,"6311
3363",¡Á,10691,2453
´ó×³,440,7,1,360,"442
3353",1178,11395,"699
6526"
´ó×³,440,2,8,370,9654,"11389
4625",5207,2480
´ó×³,440,10,4,380,"7768
6802",11060,"2021
7783",6581
´ó×³,440,6,12,390,"4693
6792","674
2327
10918",5819,2460
´ó×³,440,9,3,400,956,2073,5211,6949
´ó×³,440,11,5,410,10209,1679,8587,2393
