先天命数,天干,1,2,3,4,5,6,7,8,9,10,11,12,,,
1,甲,五,六,四,七,五,四,四,四,五,七,六,四,,,
1,乙,五,四,五,四,七,六,五,六,五,四,七,四,,,
1,丙,五,七,七,四,五,四,五,六,七,四,五,六,,,
1,丁,七,六,四,六,五,七,四,七,五,四,七,四,,,
1,戊,五,四,五,四,五,四,六,四,六,四,五,七,,,
1,己,四,六,四,四,四,七,四,五,七,七,六,四,,,
1,庚,六,七,六,四,四,四,六,五,五,七,七,四,,,
1,辛,六,六,七,四,四,四,六,四,七,四,五,四,,,
1,壬,七,四,七,六,五,六,四,七,六,六,七,七,,,
1,癸,七,六,七,六,四,四,七,七,四,六,四,五,,,
2,甲,四,五,六,五,四,五,四,七,六,七,六,五,,,
2,乙,四,五,四,四,六,五,五,六,六,七,七,七,,,
2,丙,六,四,六,四,五,六,七,四,五,六,七,六,,,
2,丁,五,七,四,六,四,五,四,五,七,六,四,七,,,
2,戊,六,七,六,五,五,四,七,六,七,六,六,七,,,
2,己,七,五,四,五,四,五,四,六,六,七,六,七,,,
2,庚,四,七,四,四,七,五,六,六,四,五,四,五,,,
2,辛,六,四,四,四,七,四,四,七,五,五,六,七,,,
2,壬,五,四,五,四,七,六,五,五,五,四,五,七,,,
2,癸,四,五,七,四,四,六,四,七,六,四,五,五,,,
3,甲,四,六,七,七,五,四,四,六,四,六,五,七,,,
3,乙,六,四,五,四,五,四,七,六,七,四,六,四,,,
3,丙,六,七,六,七,六,四,七,四,七,五,五,四,,,
3,丁,四,六,五,四,四,五,七,五,五,四,四,七,,,
3,戊,五,四,五,四,六,四,五,四,七,四,七,四,,,
3,己,四,四,四,七,五,六,六,七,四,四,七,六,,,
3,庚,五,四,六,四,七,四,六,五,六,六,四,四,,,
3,辛,七,六,四,四,六,六,七,四,七,四,五,七,,,
3,壬,五,六,六,四,七,四,六,四,五,四,五,四,,,
3,癸,七,七,五,四,七,六,六,六,七,四,四,七,,,
4,甲,四,六,四,五,四,七,七,六,六,七,四,七,,,
4,乙,四,四,六,四,七,四,七,四,六,四,五,五,,,
4,丙,五,四,五,四,五,四,六,四,五,七,五,七,,,
4,丁,六,六,五,四,四,五,四,七,四,七,四,七,,,
4,戊,六,四,六,七,五,七,七,四,四,六,五,六,,,
4,己,四,五,七,六,四,五,四,六,七,六,六,七,,,
4,庚,四,四,四,六,四,七,六,七,四,五,七,五,,,
4,辛,七,四,六,四,五,四,四,四,五,七,六,七,,,
4,壬,六,四,五,四,四,六,七,七,六,四,五,七,,,
4,癸,四,五,四,四,五,五,四,六,四,七,五,七,,,
5,甲,四,六,四,七,五,七,四,六,六,七,五,四,,,
5,乙,六,四,五,四,七,六,七,四,六,四,五,七,,,
5,丙,七,四,七,六,五,七,六,六,七,四,六,四,,,
5,丁,五,五,四,四,六,五,七,六,七,四,四,六,,,
5,戊,四,四,六,四,五,四,五,四,七,四,七,六,,,
5,己,四,五,四,六,四,五,四,四,四,七,七,五,,,
5,庚,六,七,七,四,四,六,六,五,七,六,五,六,,,
5,辛,四,四,七,四,六,七,六,四,七,四,七,七,,,
5,壬,五,七,七,六,六,四,六,四,七,六,五,四,,,
5,癸,七,六,六,七,四,五,六,七,四,六,四,五,,,
6,甲,七,六,四,五,四,七,四,六,七,七,四,五,,,
6,乙,四,七,六,四,七,四,五,六,四,五,五,五,,,
6,丙,五,四,七,四,五,四,五,四,五,四,五,四,,,
6,丁,七,五,四,七,四,五,七,五,六,六,四,七,,,
6,戊,七,六,四,七,五,七,七,六,六,四,五,七,,,
6,己,七,六,四,七,四,五,四,六,七,七,六,六,,,
6,庚,四,七,四,五,四,六,四,六,四,五,六,七,,,
6,辛,四,四,四,四,五,六,四,四,五,四,四,六,,,
6,壬,五,四,七,四,五,四,七,七,五,四,五,四,,,
6,癸,四,五,四,四,七,六,四,五,四,四,五,五,,,
7,甲,四,六,四,七,五,四,六,四,四,六,五,七,,,
7,乙,七,四,五,四,七,四,六,六,七,四,七,四,,,
7,丙,六,六,七,四,五,六,五,六,七,七,六,四,,,
7,丁,四,七,七,四,六,七,七,四,七,六,六,七,,,
7,戊,五,四,五,四,五,四,五,四,五,四,五,四,,,
7,己,四,七,四,四,六,七,四,五,四,七,六,七,,,
7,庚,六,四,七,七,六,七,四,七,五,六,四,四,,,
7,辛,七,四,四,四,六,六,六,四,七,四,六,四,,,
7,壬,五,六,七,六,七,六,七,四,六,七,六,七,,,
7,癸,七,六,四,四,四,七,六,六,四,七,五,五,,,
8,甲,四,六,七,五,四,六,四,七,六,六,四,五,,,
8,乙,四,七,六,四,七,七,五,六,六,七,七,六,,,
8,丙,六,七,七,四,五,四,六,七,五,六,七,四,,,
8,丁,七,七,六,七,四,六,七,六,七,七,四,六,,,
8,戊,六,七,四,六,七,七,六,七,四,四,五,七,,,
8,己,四,五,七,六,四,四,四,五,四,四,四,五,,,
8,庚,四,六,四,六,七,六,七,五,四,七,七,五,,,
8,辛,四,六,七,四,七,七,四,七,五,六,五,五,,,
8,壬,五,四,五,四,七,六,五,七,七,四,五,四,,,
8,癸,四,五,四,六,七,七,四,六,五,四,五,五,,,
9,甲,五,七,四,七,五,四,六,六,七,六,六,四,,,
9,乙,七,四,五,四,六,四,五,七,七,四,六,四,,,
9,丙,七,四,七,六,五,四,六,七,六,四,五,四,,,
9,丁,七,六,六,七,七,五,四,五,五,四,四,四,,,
9,戊,五,四,五,七,五,四,五,四,四,四,五,四,,,
9,己,四,七,四,四,五,五,六,六,四,四,七,七,,,
9,庚,七,四,四,四,七,四,五,六,五,五,七,四,,,
9,辛,七,四,六,四,六,四,五,四,七,四,五,四,,,
9,壬,五,六,七,四,六,四,七,五,五,四,五,四,,,
9,癸,七,七,六,四,四,五,五,六,四,四,四,五,,,
10,甲,六,五,四,五,四,五,四,七,六,五,四,五,,,
10,乙,四,六,四,四,六,五,五,四,四,七,五,七,,,
10,丙,七,四,六,四,五,四,四,四,六,七,五,四,,,
10,丁,七,七,五,六,四,五,四,五,四,七,四,六,,,
10,戊,七,四,四,六,五,六,七,七,四,六,五,六,,,
10,己,七,五,四,六,四,五,四,五,七,六,四,七,,,
10,庚,四,七,四,七,四,五,六,六,四,五,七,七,,,
10,辛,六,四,七,四,五,六,七,七,六,六,六,七,,,
10,壬,五,四,五,四,七,七,六,五,四,四,五,七,,,
10,癸,四,五,四,四,五,七,六,七,四,四,五,六,,,
11,甲,四,七,七,四,五,四,六,五,六,六,五,七,,,
11,乙,五,四,五,四,五,四,七,四,六,四,五,七,,,
11,丙,七,四,六,四,五,七,五,四,七,六,五,四,,,
11,丁,四,七,七,六,五,六,六,七,七,六,六,四,,,
