流年地支,后天命数,流年标记
子,1,开
子,2,石
子,3,土
子,4,火
子,5,水
子,6,闭
子,7,收
子,8,发
丑,1,发
丑,2,开
丑,3,石
丑,4,土
丑,5,火
丑,6,水
丑,7,闭
丑,8,收
寅,1,收
寅,2,发
寅,3,开
寅,4,石
寅,5,土
寅,6,火
寅,7,水
寅,8,闭
卯,1,收
卯,2,发
卯,3,开
卯,4,石
卯,5,土
卯,6,火
卯,7,水
卯,8,闭
辰,1,闭
辰,2,收
辰,3,发
辰,4,开
辰,5,石
辰,6,土
辰,7,火
辰,8,水
巳,1,水
巳,2,闭
巳,3,收
巳,4,发
巳,5,开
巳,6,石
巳,7,土
巳,8,火
午,1,水
午,2,闭
午,3,收
午,4,发
午,5,开
午,6,石
午,7,土
午,8,火
未,1,火
未,2,水
未,3,闭
未,4,收
未,5,发
未,6,开
未,7,石
未,8,土
申,1,土
申,2,火
申,3,水
申,4,闭
申,5,收
申,6,发
申,7,开
申,8,石
酉,1,土
酉,2,火
酉,3,水
酉,4,闭
酉,5,收
酉,6,发
酉,7,开
酉,8,石
戌,1,石
戌,2,土
戌,3,火
戌,4,水
戌,5,闭
戌,6,收
戌,7,发
戌,8,开
亥,1,开
亥,2,石
亥,3,土
亥,4,火
亥,5,水
亥,6,闭
亥,7,收
亥,8,发
