考刻,日命数加时运数的奇偶性,流年天四声,流年标记,流年字母
初刻,奇数,四,开,问
初刻,奇数,四,发,勿
初刻,奇数,四,收,娼
初刻,奇数,四,闭,务
初刻,奇数,四,水,方
初刻,奇数,四,火,粉
初刻,奇数,四,土,分
初刻,奇数,四,石,福
初刻,奇数,五,开,绍
初刻,奇数,五,发,誓
初刻,奇数,五,收,离
初刻,奇数,五,闭,舌
初刻,奇数,五,水,桃
初刻,奇数,五,火,滞
初刻,奇数,五,土,召
初刻,奇数,五,石,忆
初刻,奇数,六,开,肾
初刻,奇数,六,发,神
初刻,奇数,六,收,肾
初刻,奇数,六,闭,神
初刻,奇数,六,水,肾
初刻,奇数,六,火,神
初刻,奇数,六,土,肾
初刻,奇数,六,石,神
初刻,奇数,七,开,尾
初刻,奇数,七,发,物
初刻,奇数,七,收,尾
初刻,奇数,七,闭,物
初刻,奇数,七,水,尾
初刻,奇数,七,火,物
初刻,奇数,七,土,尾
初刻,奇数,七,石,物
初刻,偶数,四,开,禄
初刻,偶数,四,发,鲁
初刻,偶数,四,收,吏
初刻,偶数,四,闭,龙
初刻,偶数,四,水,屯
初刻,偶数,四,火,社
初刻,偶数,四,土,弟
初刻,偶数,四,石,动
初刻,偶数,五,开,省
初刻,偶数,五,发,訾
初刻,偶数,五,收,萨
初刻,偶数,五,闭,西
初刻,偶数,五,水,刀
初刻,偶数,五,火,旦
初刻,偶数,五,土,亶
初刻,偶数,五,石,等
初刻,偶数,六,开,坷
初刻,偶数,六,发,器
初刻,偶数,六,收,坷
初刻,偶数,六,闭,器
初刻,偶数,六,水,坷
初刻,偶数,六,火,器
初刻,偶数,六,土,坷
初刻,偶数,六,石,器
初刻,偶数,七,开,和
初刻,偶数,七,发,玄
初刻,偶数,七,收,和
初刻,偶数,七,闭,玄
初刻,偶数,七,水,和
初刻,偶数,七,火,玄
初刻,偶数,七,土,和
初刻,偶数,七,石,玄
正刻,奇数,四,开,福
正刻,奇数,四,发,分
正刻,奇数,四,收,粉
正刻,奇数,四,闭,方
正刻,奇数,四,水,务
正刻,奇数,四,火,娼
正刻,奇数,四,土,勿
正刻,奇数,四,石,问
正刻,奇数,五,开,忆
正刻,奇数,五,发,召
正刻,奇数,五,收,滞
正刻,奇数,五,闭,桃
正刻,奇数,五,水,舌
正刻,奇数,五,火,离
正刻,奇数,五,土,誓
正刻,奇数,五,石,绍
正刻,奇数,六,开,神
正刻,奇数,六,发,肾
正刻,奇数,六,收,神
正刻,奇数,六,闭,肾
正刻,奇数,六,水,神
正刻,奇数,六,火,肾
正刻,奇数,六,土,神
正刻,奇数,六,石,肾
正刻,奇数,七,开,物
正刻,奇数,七,发,尾
正刻,奇数,七,收,物
正刻,奇数,七,闭,尾
正刻,奇数,七,水,物
正刻,奇数,七,火,尾
正刻,奇数,七,土,物
正刻,奇数,七,石,尾
正刻,偶数,四,开,动
正刻,偶数,四,发,弟
正刻,偶数,四,收,社
正刻,偶数,四,闭,屯
正刻,偶数,四,水,龙
正刻,偶数,四,火,吏
正刻,偶数,四,土,鲁
正刻,偶数,四,石,禄
正刻,偶数,五,开,等
正刻,偶数,五,发,亶
正刻,偶数,五,收,旦
正刻,偶数,五,闭,刀
正刻,偶数,五,水,西
正刻,偶数,五,火,萨
正刻,偶数,五,土,訾
正刻,偶数,五,石,省
正刻,偶数,六,开,器
正刻,偶数,六,发,坷
正刻,偶数,六,收,器
正刻,偶数,六,闭,坷
正刻,偶数,六,水,器
正刻,偶数,六,火,坷
正刻,偶数,六,土,器
正刻,偶数,六,石,坷
正刻,偶数,七,开,玄
正刻,偶数,七,发,和
正刻,偶数,七,收,玄
正刻,偶数,七,闭,和
正刻,偶数,七,水,玄
正刻,偶数,七,火,和
正刻,偶数,七,土,玄
正刻,偶数,七,石,和
