条文校正数,流年字母,流年岁数,基数,加数
1,福,1,1141,992
1,分,1,1141,992
1,粉,1,1141,992
1,方,1,1141,992
1,务,1,1141,992
1,勿,1,1141,992
1,娼,1,1141,992
1,问,1,1141,992
1,福,3,2196,992
1,分,3,2196,992
1,粉,3,2196,992
1,方,3,2196,992
1,务,3,2196,992
1,勿,3,2196,992
1,娼,3,2196,992
1,问,3,2196,992
1,福,5,3017,992
1,分,5,3017,992
1,粉,5,3017,992
1,方,5,3017,992
1,务,5,3017,992
1,勿,5,3017,992
1,娼,5,3017,992
1,问,5,3017,992
1,福,7,3696,992
1,分,7,3696,992
1,粉,7,3696,992
1,方,7,3696,992
1,务,7,3696,992
1,勿,7,3696,992
1,娼,7,3696,992
1,问,7,3696,992
1,福,9,4518,992
1,分,9,4518,992
1,粉,9,4518,992
1,方,9,4518,992
1,务,9,4518,992
1,勿,9,4518,992
1,娼,9,4518,992
1,问,9,4518,992
1,福,81,1319,992
1,分,81,1319,992
1,粉,81,1319,992
1,方,81,1319,992
1,务,81,1319,992
1,勿,81,1319,992
1,娼,81,1319,992
1,问,81,1319,992
1,福,83,3377,992
1,分,83,3377,992
1,粉,83,3377,992
1,方,83,3377,992
1,务,83,3377,992
1,勿,83,3377,992
1,娼,83,3377,992
1,问,83,3377,992
1,福,85,2428,992
1,分,85,2428,992
1,粉,85,2428,992
1,方,85,2428,992
1,务,85,2428,992
1,勿,85,2428,992
1,娼,85,2428,992
1,问,85,2428,992
1,福,87,1367,992
1,分,87,1367,992
1,粉,87,1367,992
1,方,87,1367,992
1,务,87,1367,992
1,勿,87,1367,992
1,娼,87,1367,992
1,问,87,1367,992
1,福,89,5181,992
1,分,89,5181,992
1,粉,89,5181,992
1,方,89,5181,992
1,务,89,5181,992
1,勿,89,5181,992
1,娼,89,5181,992
1,问,89,5181,992
1,福,91,1327,992
1,分,91,1327,992
1,粉,91,1327,992
1,方,91,1327,992
1,务,91,1327,992
1,勿,91,1327,992
1,娼,91,1327,992
1,问,91,1327,992
1,福,93,2155,992
1,分,93,2155,992
1,粉,93,2155,992
1,方,93,2155,992
1,务,93,2155,992
