本命数,卦名
181,大壮
182,复
183,剥
184,遁
185,夬
186,临
187,观
188,泰
189,坤
190,复
191,否
192,观
193,乾
194,否
195,遁
196,复
197,夬
198,临
200,坤
201,否
202,观
203,临
204,泰
205,复
206,泰
207,观
208,坤
209,复
210,乾
211,大壮
212,复
213,剥
214,乾
215,遁
216,否
217,夬
218,临
220,坤
221,否
222,观
223,乾
224,泰
225,复
226,遁
227,观
228,剥
230,大壮
231,否
232,临
233,剥
234,坤
235,夬
236,遁
237,观
238,泰
239,坤
240,复
241,大壮
242,复
243,乾
244,剥
245,遁
246,否
247,夬
248,临
250,坤
251,否
252,观
253,乾
254,泰
255,复
256,遁
257,观
258,剥
260,大壮
261,否
262,临
263,乾
264,泰
265,坤
266,剥
267,乾
268,剥
269,遁
270,否
271,大壮
272,复
273,乾
274,剥
275,遁
276,夬
277,临
279,否
280,观
281,否
282,观
283,乾
284,泰
285,复
286,遁
287,观
288,剥
290,大壮
291,否
292,临
293,剥
294,坤
295,夬
296,遁
297,观
298,泰
299,坤
300,复
301,大壮
302,复
303,乾
304,剥
305,遁
306,夬
307,否
308,临
310,坤
311,否
312,观
313,乾
314,泰
315,遁
316,复
317,观
318,剥
320,大壮
321,否
322,临
323,剥
324,坤
325,遁
326,夬
327,观
328,泰
329,坤
330,复
331,遁
332,否
333,否
334,观
335,观
336,剥
337,剥
338,坤
339,坤
340,复
341,大壮
342,复
343,临
344,临
345,泰
346,泰
347,大壮
348,夬
349,夬
350,乾
351,乾
352,姤
354,遁
355,遁
356,否
357,否
358,观
359,观
360,剥
361,遁
362,否
363,否
364,观
365,观
366,剥
367,剥
368,坤
369,坤
370,复
371,复
372,临
373,临
374,泰
375,泰
376,大壮
377,大壮
378,夬
379,夬
380,乾
381,乾
382,姤
384,遁
385,遁
386,否
387,否
388,观
389,观
390,剥
391,遁
392,否
393,否
394,观
395,观
396,剥
397,剥
398,坤
399,坤
400,复
401,复
402,临
403,临
404,泰
405,泰
406,大壮
407,大壮
408,夬
409,夬
410,乾
411,乾
412,姤
413,姤
414,遁
415,遁
416,否
417,否
418,观
419,观
420,剥
421,遁
422,否
423,否
424,观
425,观
426,剥
427,剥
428,坤
429,坤
430,复
431,复
432,临
433,临
434,泰
435,泰
436,大壮
437,大壮
438,夬
439,夬
440,乾
441,乾
443,姤
444,遁
445,遁
446,否
447,否
448,观
449,观
450,剥
451,遁
452,否
453,否
454,观
455,观
456,剥
457,剥
458,坤
459,坤
460,复
461,复
462,临
463,临
464,泰
465,泰
466,大壮
467,大壮
468,夬
469,夬
470,乾
471,乾
472,姤
473,姤
474,遁
475,遁
476,否
477,否
478,观
479,观
480,剥
481,乾
482,剥
483,遁
484,否
486,坤
487,否
488,观
489,遁
490,复
491,观
492,剥
493,否
494,临
495,剥
496,坤
497,观
498,泰
499,坤
500,复
501,剥
502,大壮
503,复
504,临
505,坤
506,夬
507,临
508,泰
509,复
510,乾
511,乾
512,剥
513,遁
514,否
516,坤
517,否
518,观
519,遁
520,复
521,观
522,剥
523,否
524,临
525,剥
526,坤
527,观
528,泰
529,坤
530,复
531,剥
532,大壮
533,复
534,临
535,坤
536,夬
537,临
538,泰
539,复
540,乾
541,乾
542,剥
543,遁
544,否
545,姤
546,坤
547,否
548,观
549,遁
550,复
551,观
552,剥
553,否
554,临
555,剥
556,坤
557,观
558,泰
559,坤
560,复
561,剥
562,大壮
563,复
564,临
565,坤
566,夬
567,临
568,泰
569,复
570,乾
571,乾
572,剥
573,遁
574,否
576,坤
577,否
578,观
579,遁
580,复
581,观
582,剥
583,临
584,否
585,剥
586,坤
587,观
588,泰
589,坤
590,复
591,剥
592,大壮
593,复
594,临
595,坤
596,夬
597,临
598,泰
599,复
600,乾
601,乾
602,剥
603,遁
604,否
606,坤
607,否
608,观
609,遁
610,复
611,观
612,剥
613,否
614,临
615,剥
616,坤
617,观
618,泰
619,坤
620,复
621,剥
622,大壮
623,复
624,临
625,坤
626,夬
627,临
628,泰
629,复
630,乾
631,剥
632,遁
633,坤
634,否
635,否
636,否
637,复
638,观
639,剥
640,临
641,剥
642,坤
643,坤
644,泰
645,复
646,大壮
647,复
648,临
649,夬
650,临
651,泰
652,乾
653,泰
654,大壮
656,大壮
657,夬
658,遁
659,夬
660,乾
661,剥
662,遁
663,坤
664,否
665,否
666,否
667,复
668,观
669,剥
670,临
671,剥
672,坤
673,坤
674,泰
675,复
676,大壮
677,复
678,临
679,夬
680,临
681,泰
682,乾
683,泰
