集,条文数,年龄,吉凶断词
子集,1001,47,一树残花，有枝复茂。
子集,1002,,寄人廊庙，何如自立门户。
子集,1003,,家业消耗，独守为难。
子集,1004,21，22,苦雨连宵，行人为难。
子集,1005,11，12,日照纱窗紫艳明，柳阴枝上报新春。
子集,1006,63，64,家室亨通，心安意稳。
子集,1007,35，36,有意外之虞，含哺而笑。
子集,1008,29，30,得人轻借力，便是运通时。
子集,1009,,卜君之寿，未满六旬。
子集,1010,41，42,时亨运又通，镇日笑春风。
子集,1011,37,元贞无咎，固之所宜。
子集,1012,17，18,荣受职任，定在此年。
子集,1013,51，52,半夜西风，晚开霁色。
子集,1014,19，20,斯年头带白，难免孝孤忧。
子集,1015,,为人不实，指东话西。
子集,1016,,正妻无子，副妻有儿。
子集,1017,17，18,名登痒序，弓马入泮。
子集,1018,19,亲近贵人，不有饶益。
子集,1019,20,荣任职务，此年大幸。
子集,1020,27，28,运未至时，未可施为。
子集,1021,30,乾元用九，动而有成。
子集,1022,,能刚断而往事，决不类流俗。
子集,1023,35，36,无端生非，破财难免。
子集,1024,,偏房不结子，正室产麟儿。
子集,1025,27，28,暖到春回日，百花正及时。
子集,1026,52,中流行舟，仔细掌舵。
子集,1027,43，44,平康正直，问利有余。
子集,1028,21,名登痒序，身赴儒林。
子集,1029,25，26,日到中天，何期云雾掩其光。
子集,1030,15，16,小运既通，所为稍利顺。
子集,1031,40,年当大有，富丽时光。
子集,1032,19,生平功名遂，辟雍得荣身。
子集,1033,65，66,路旁之处见山坡，前有长须挈杖扶。
子集,1034,40,不得失却前程在，财散免灾病中苦。
子集,1035,55,拖泥带水，征途崎岖。
子集,1036,54,母赴瑶池，三年泣血。
子集,1037,,命薄不由人，一世奔波苦劳心。
子集,1038,52，53,人和安乐，价值千金。
子集,1039,59，60,平安年吉，人乐尧天。
子集,1040,33，34,镜中之花，只可对玩。
子集,1041,53，54,人事从容，所为顺利。
子集,1042,17，18,功名成就，国学名香。
子集,1043,,托祖宗之德，初授百总之职。
子集,1044,48,不辛数尽。
子集,1045,55，56,一曰元亨，再曰利贞。
子集,1046,,命带大凶，妄想无本全利难。
子集,1047,35，36,官拜运司而致任。
子集,1048,,妻生一子，妾亦如之。
子集,1049,39,夫妻应偕老，数注半路各分离。
子集,1050,22,持弓欲射虎，无奈虎负隅。
子集,1051,45，46,移花接木，艰难培植。
子集,1052,21，22,蛟龙困于渊，未可再施为。
子集,1053,,数有一子送老。
子集,1054,51，52,流年运不通，冷落晚风来。
子集,1055,67，68,月到云边，其光掩蔽。
子集,1056,23，24,水流花落，事总难施。
子集,1057,27，28,黄金埋土，未得使用。
子集,1058,56,深山有伏蛇，行人须仔细。
子集,1059,,操江之任，立送屈原。
子集,1060,15，16,人有支离，不如守拙。
子集,1061,43，44,一字君记卜之曰守。
子集,1062,59,李陵误入太后国，高筑云台丰溪忧。
子集,1063,51,生子之年。
子集,1064,29，30,束身修德，自无蹇难之虞。
子集,1065,41，42,拂度菱花垢，静而光自现。
子集,1066,35，36,和气景象，人有乐意。
子集,1067,,绛帐橘泉名列客，不是儒林即杏林。
子集,1068,23，24,鸟囿于樊笼，神旺而不喜。
子集,1069,45，46,钦命典试。
子集,1070,33，34,高山流水，幸有佳音。
子集,1071,31，32,良骥无差，未受如人之利。
子集,1072,39，40,流年至此，事顺安吉。
子集,1073,21，22,犬生两口，请君详之。
子集,1074,60,言公接踵迟，囹圄之叹惜。
子集,1075,35,风云际会功名遂，姓字沾恩雨露深。
子集,1076,,生吝才愚，一毛不拔。
子集,1077,33，34,花柳如絮，春乐宜人。
子集,1078,37，38,行乐度流年，万事得安然。
子集,1079,,湘江游遍，衣食仅足。
子集,1080,61，62,荒江叶乱露初冷，独掉孤舟夜上流。
子集,1081,13，14,婚姻早临，天喜当头。
子集,1082,21，22,先培根本，枝叶畅茂。
子集,1083,,其人品自宏，深衿怀安乐。
子集,1084,,风钦通神人共仰，伏遇提携与成家。
子集,1085,52，53,清间薄利与微名，做个都市卖卜人。
子集,1086,43，44,万恨千愁，一朝尽释。
子集,1087,33,一曰吉利，再曰亨通。
子集,1088,45，46,告君记四字：待兔守株。
子集,1089,19，20,草色逢春，始发萌芽。
